CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1
2,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0
3,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1
4,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0
5,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0
6,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
7,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0
8,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1
9,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0
10,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0
11,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
12,Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0
13,Kay,476,France,Female,34,10,0,2,1,0,26260.98,0
14,Chin,549,France,Female,25,5,0,2,0,0,190857.79,0
15,Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0
16,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
17,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
18,Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0
19,Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0
20,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0
21,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0
22,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0
23,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1
24,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0
25,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0
26,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0
27,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0
28,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0
29,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0
30,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0
31,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1
32,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
33,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
34,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0
35,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0
36,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
37,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
38,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
39,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0
40,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
41,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0
42,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
43,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
44,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
45,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
46,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
47,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
48,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
49,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
50,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
51,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
52,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
